path,filename,extension,size_bytes,modified_date,guessed_content_type
Well_technical_data\Daily Drilling Report - HTML Version\15_9_19_A_1997_10_23.html,15_9_19_A_1997_10_23.html,.html,14849,2026-09-11T23:09:30.190728,text/html
Well_technical_data\Daily Drilling Report - HTML Version\15_9_19_A_1997_10_24.html,15_9_19_A_1997_10_24.html,.html,15033,2026-09-11T23:09:33.527846,text/html
Well_technical_data\Daily Drilling Report - HTML Version\15_9_19_A_1997_10_25.html,15_9_19_A_1997_10_25.html,.html,14533,2026-09-11T23:09:36.596087,text/html
Well_technical_data\Daily Drilling Report - HTML Version\15_9_19_A_1997_10_26.html,15_9_19_A_1997_10_26.html,.html,13945,2026-09-11T23:09:39.907169,text/html
Well_technical_data\Daily Drilling Report - HTML Version\15_9_19_A_1997_10_27.html,15_9_19_A_1997_10_27.html,.html,16694,2026-09-11T23:09:43.441304,text/html
Well_technical_data\Daily Drilling Report - HTML Version\15_9_19_A_1997_10_28.html,15_9_19_A_1997_10_28.html,.html,15993,2026-09-11T23:09:46.701930,text/html
Well_technical_data\Daily Drilling Report - HTML Version\15_9_19_A_1997_10_29.html,15_9_19_A_1997_10_29.html,.html,15553,2026-09-11T23:09:51.024428,text/html
Well_technical_data\Daily Drilling Report - HTML Version\15_9_19_A_1997_10_30.html,15_9_19_A_1997_10_30.html,.html,15899,2026-09-11T23:09:54.761512,text/html
Well_technical_data\Daily Drilling Report - HTML Version\15_9_19_A_1997_10_31.html,15_9_19_A_1997_10_31.html,.html,13365,2026-09-11T23:09:57.754369,text/html
Well_technical_data\Daily Drilling Report - HTML Version\15_9_19_A_1997_11_01.html,15_9_19_A_1997_11_01.html,.html,15073,2026-09-11T23:10:01.079571,text/html
Well_technical_data\Daily Drilling Report - HTML Version\15_9_19_A_1997_11_02.html,15_9_19_A_1997_11_02.html,.html,13443,2026-09-11T23:10:04.402706,text/html
Well_technical_data\Daily Drilling Report - HTML Version\15_9_19_A_1997_11_03.html,15_9_19_A_1997_11_03.html,.html,15923,2026-09-11T23:10:07.777012,text/html
Well_technical_data\Daily Drilling Report - HTML Version\15_9_19_A_1997_11_04.html,15_9_19_A_1997_11_04.html,.html,14255,2026-09-11T23:10:11.030465,text/html
Well_technical_data\Daily Drilling Report - HTML Version\15_9_19_A_1997_11_05.html,15_9_19_A_1997_11_05.html,.html,14425,2026-09-11T23:10:14.236305,text/html
Well_technical_data\Daily Drilling Report - HTML Version\15_9_19_A_1997_11_06.html,15_9_19_A_1997_11_06.html,.html,17304,2026-09-11T23:10:17.512735,text/html
Well_technical_data\Daily Drilling Report - HTML Version\15_9_19_A_1997_11_07.html,15_9_19_A_1997_11_07.html,.html,15621,2026-09-11T23:10:20.542099,text/html
Well_technical_data\Daily Drilling Report - HTML Version\15_9_19_A_1997_11_08.html,15_9_19_A_1997_11_08.html,.html,15335,2026-09-11T23:10:23.670221,text/html
Well_technical_data\Daily Drilling Report - HTML Version\15_9_19_A_1997_11_09.html,15_9_19_A_1997_11_09.html,.html,17144,2026-09-11T23:10:27.076622,text/html
Well_technical_data\Daily Drilling Report - HTML Version\15_9_19_A_1997_11_10.html,15_9_19_A_1997_11_10.html,.html,15922,2026-09-11T23:10:30.078376,text/html
Well_technical_data\Daily Drilling Report - HTML Version\15_9_19_BT2_1997_12_06.html,15_9_19_BT2_1997_12_06.html,.html,14410,2026-09-11T23:10:32.783921,text/html
Well_technical_data\Daily Drilling Report - HTML Version\15_9_19_BT2_1997_12_07.html,15_9_19_BT2_1997_12_07.html,.html,15627,2026-09-11T23:10:35.857791,text/html
Well_technical_data\Daily Drilling Report - HTML Version\15_9_19_BT2_1997_12_08.html,15_9_19_BT2_1997_12_08.html,.html,18566,2026-09-11T23:10:38.959064,text/html
Well_technical_data\Daily Drilling Report - HTML Version\15_9_19_BT2_1997_12_09.html,15_9_19_BT2_1997_12_09.html,.html,19262,2026-09-11T23:10:42.078293,text/html
Well_technical_data\Daily Drilling Report - HTML Version\15_9_19_BT2_1997_12_10.html,15_9_19_BT2_1997_12_10.html,.html,16088,2026-09-11T23:10:45.408453,text/html
Well_technical_data\Daily Drilling Report - HTML Version\15_9_19_BT2_1997_12_11.html,15_9_19_BT2_1997_12_11.html,.html,14788,2026-09-11T23:10:48.805992,text/html
Well_technical_data\Daily Drilling Report - HTML Version\15_9_19_BT2_1997_12_12.html,15_9_19_BT2_1997_12_12.html,.html,14357,2026-09-11T23:10:52.189202,text/html
Well_technical_data\Daily Drilling Report - HTML Version\15_9_19_BT2_1997_12_13.html,15_9_19_BT2_1997_12_13.html,.html,17045,2026-09-11T23:10:55.218047,text/html
Well_technical_data\Daily Drilling Report - HTML Version\15_9_19_BT2_1997_12_14.html,15_9_19_BT2_1997_12_14.html,.html,15653,2026-09-11T23:10:58.895789,text/html
Well_technical_data\Daily Drilling Report - HTML Version\15_9_19_BT2_1997_12_15.html,15_9_19_BT2_1997_12_15.html,.html,20134,2026-09-11T23:11:02.225716,text/html
Well_technical_data\Daily Drilling Report - HTML Version\15_9_19_BT2_1997_12_16.html,15_9_19_BT2_1997_12_16.html,.html,16995,2026-09-11T23:11:05.939051,text/html
Well_technical_data\Daily Drilling Report - HTML Version\15_9_19_BT2_1997_12_17.html,15_9_19_BT2_1997_12_17.html,.html,15658,2026-09-11T23:11:09.184898,text/html
Well_technical_data\Daily Drilling Report - HTML Version\15_9_19_BT2_1997_12_18.html,15_9_19_BT2_1997_12_18.html,.html,16025,2026-09-11T23:11:12.214218,text/html
Well_technical_data\Daily Drilling Report - HTML Version\15_9_19_BT2_1997_12_19.html,15_9_19_BT2_1997_12_19.html,.html,19962,2026-09-11T23:11:15.541060,text/html
Well_technical_data\Daily Drilling Report - HTML Version\15_9_19_BT2_1997_12_20.html,15_9_19_BT2_1997_12_20.html,.html,19786,2026-09-11T23:11:18.747225,text/html
Well_technical_data\Daily Drilling Report - HTML Version\15_9_19_BT2_1997_12_21.html,15_9_19_BT2_1997_12_21.html,.html,19600,2026-09-11T23:11:22.105458,text/html
Well_technical_data\Daily Drilling Report - HTML Version\15_9_19_BT2_1997_12_22.html,15_9_19_BT2_1997_12_22.html,.html,18785,2026-09-11T23:11:25.927279,text/html
Well_technical_data\Daily Drilling Report - HTML Version\15_9_19_BT2_1997_12_23.html,15_9_19_BT2_1997_12_23.html,.html,16931,2026-09-11T23:11:29.404831,text/html
Well_technical_data\Daily Drilling Report - HTML Version\15_9_19_BT2_1997_12_24.html,15_9_19_BT2_1997_12_24.html,.html,18822,2026-09-11T23:11:33.641701,text/html
Well_technical_data\Daily Drilling Report - HTML Version\15_9_19_BT2_1997_12_25.html,15_9_19_BT2_1997_12_25.html,.html,20087,2026-09-11T23:11:36.910721,text/html
Well_technical_data\Daily Drilling Report - HTML Version\15_9_19_BT2_1997_12_26.html,15_9_19_BT2_1997_12_26.html,.html,19075,2026-09-11T23:11:40.624688,text/html
Well_technical_data\Daily Drilling Report - HTML Version\15_9_19_BT2_1997_12_27.html,15_9_19_BT2_1997_12_27.html,.html,18896,2026-09-11T23:11:43.981074,text/html
Well_technical_data\Daily Drilling Report - HTML Version\15_9_19_BT2_1997_12_28.html,15_9_19_BT2_1997_12_28.html,.html,18044,2026-09-11T23:11:47.836111,text/html
Well_technical_data\Daily Drilling Report - HTML Version\15_9_19_BT2_1997_12_29.html,15_9_19_BT2_1997_12_29.html,.html,19367,2026-09-11T23:11:52.592248,text/html
Well_technical_data\Daily Drilling Report - HTML Version\15_9_19_BT2_1997_12_30.html,15_9_19_BT2_1997_12_30.html,.html,18669,2026-09-11T23:11:56.233314,text/html
Well_technical_data\Daily Drilling Report - HTML Version\15_9_19_BT2_1997_12_31.html,15_9_19_BT2_1997_12_31.html,.html,19452,2026-09-11T23:11:59.618175,text/html
Well_technical_data\Daily Drilling Report - HTML Version\15_9_19_BT2_1998_01_01.html,15_9_19_BT2_1998_01_01.html,.html,17924,2026-09-11T23:12:03.129497,text/html
Well_technical_data\Daily Drilling Report - HTML Version\15_9_19_BT2_1998_01_02.html,15_9_19_BT2_1998_01_02.html,.html,16891,2026-09-11T23:12:06.327278,text/html
Well_technical_data\Daily Drilling Report - HTML Version\15_9_19_BT2_1998_01_03.html,15_9_19_BT2_1998_01_03.html,.html,16263,2026-09-11T23:12:09.630224,text/html
Well_technical_data\Daily Drilling Report - HTML Version\15_9_19_BT2_1998_01_04.html,15_9_19_BT2_1998_01_04.html,.html,16364,2026-09-11T23:12:13.183289,text/html
Well_technical_data\Daily Drilling Report - HTML Version\15_9_19_BT2_1998_01_05.html,15_9_19_BT2_1998_01_05.html,.html,15727,2026-09-11T23:12:16.088621,text/html
Well_technical_data\Daily Drilling Report - HTML Version\15_9_19_BT2_1998_01_06.html,15_9_19_BT2_1998_01_06.html,.html,18577,2026-09-11T23:12:19.581918,text/html
Well_technical_data\Daily Drilling Report - HTML Version\15_9_19_BT2_1998_01_07.html,15_9_19_BT2_1998_01_07.html,.html,21068,2026-09-11T23:12:22.717718,text/html
Well_technical_data\Daily Drilling Report - HTML Version\15_9_19_BT2_1998_01_08.html,15_9_19_BT2_1998_01_08.html,.html,17218,2026-09-11T23:12:25.902787,text/html
Well_technical_data\Daily Drilling Report - HTML Version\15_9_19_BT2_1998_01_09.html,15_9_19_BT2_1998_01_09.html,.html,19066,2026-09-11T23:12:29.266200,text/html
Well_technical_data\Daily Drilling Report - HTML Version\15_9_19_BT2_1998_01_10.html,15_9_19_BT2_1998_01_10.html,.html,19211,2026-09-11T23:12:32.504501,text/html
Well_technical_data\Daily Drilling Report - HTML Version\15_9_19_BT2_1998_01_11.html,15_9_19_BT2_1998_01_11.html,.html,17206,2026-09-11T23:12:35.978017,text/html
Well_technical_data\Daily Drilling Report - HTML Version\15_9_19_BT2_1998_01_12.html,15_9_19_BT2_1998_01_12.html,.html,16129,2026-09-11T23:12:39.183823,text/html
Well_technical_data\Daily Drilling Report - HTML Version\15_9_19_BT2_1998_01_13.html,15_9_19_BT2_1998_01_13.html,.html,16381,2026-09-11T23:12:42.462108,text/html
Well_technical_data\Daily Drilling Report - HTML Version\15_9_19_BT2_1998_01_14.html,15_9_19_BT2_1998_01_14.html,.html,15639,2026-09-11T23:12:45.573870,text/html
Well_technical_data\Daily Drilling Report - HTML Version\15_9_19_BT2_1998_01_15.html,15_9_19_BT2_1998_01_15.html,.html,17356,2026-09-11T23:12:49.025119,text/html
Well_technical_data\Daily Drilling Report - HTML Version\15_9_19_BT2_1998_01_16.html,15_9_19_BT2_1998_01_16.html,.html,16956,2026-09-11T23:12:53.847516,text/html
Well_technical_data\Daily Drilling Report - HTML Version\15_9_19_BT2_1998_01_17.html,15_9_19_BT2_1998_01_17.html,.html,17188,2026-09-11T23:12:57.575437,text/html
Well_technical_data\Daily Drilling Report - HTML Version\15_9_19_BT2_1998_01_18.html,15_9_19_BT2_1998_01_18.html,.html,16682,2026-09-11T23:13:01.415460,text/html
Well_technical_data\Daily Drilling Report - HTML Version\15_9_19_BT2_1998_01_19.html,15_9_19_BT2_1998_01_19.html,.html,17572,2026-09-11T23:13:05.253968,text/html
Well_technical_data\Daily Drilling Report - HTML Version\15_9_19_BT2_1998_01_20.html,15_9_19_BT2_1998_01_20.html,.html,17084,2026-09-11T23:13:08.749222,text/html
Well_technical_data\Daily Drilling Report - HTML Version\15_9_19_BT2_1998_01_21.html,15_9_19_BT2_1998_01_21.html,.html,17105,2026-09-11T23:13:12.058229,text/html
